加载数据...
总样本: 98,000条
已有: 9,400条，继续...
待处理: 88,600条，5线程并行
[50,800/98000] 新增41,400 | 7650条/h | 剩余~6.2h | 错误:49
[51,000/98000] 新增41,600 | 7661条/h | 剩余~6.1h | 错误:49
[51,200/98000] 新增41,800 | 7654条/h | 剩余~6.1h | 错误:49
[51,400/98000] 新增42,000 | 7651条/h | 剩余~6.1h | 错误:49
[51,600/98000] 新增42,200 | 7649条/h | 剩余~6.1h | 错误:49
[51,800/98000] 新增42,400 | 7637条/h | 剩余~6.0h | 错误:49
[52,000/98000] 新增42,600 | 7645条/h | 剩余~6.0h | 错误:49
[52,200/98000] 新增42,800 | 7643条/h | 剩余~6.0h | 错误:49
[52,400/98000] 新增43,000 | 7655条/h | 剩余~6.0h | 错误:49
[52,600/98000] 新增43,200 | 7662条/h | 剩余~5.9h | 错误:49
[52,800/98000] 新增43,400 | 7669条/h | 剩余~5.9h | 错误:49
[53,000/98000] 新增43,600 | 7666条/h | 剩余~5.9h | 错误:49
[53,200/98000] 新增43,800 | 7672条/h | 剩余~5.8h | 错误:49
[53,400/98000] 新增44,000 | 7679条/h | 剩余~5.8h | 错误:49
[53,600/98000] 新增44,200 | 7683条/h | 剩余~5.8h | 错误:49
[53,800/98000] 新增44,400 | 7679条/h | 剩余~5.8h | 错误:49
[54,000/98000] 新增44,600 | 7685条/h | 剩余~5.7h | 错误:49
[54,200/98000] 新增44,800 | 7690条/h | 剩余~5.7h | 错误:49
[54,400/98000] 新增45,000 | 7697条/h | 剩余~5.7h | 错误:49
[54,600/98000] 新增45,200 | 7687条/h | 剩余~5.6h | 错误:49
[54,800/98000] 新增45,400 | 7679条/h | 剩余~5.6h | 错误:49
[55,000/98000] 新增45,600 | 7684条/h | 剩余~5.6h | 错误:49
[55,200/98000] 新增45,800 | 7677条/h | 剩余~5.6h | 错误:49
[55,400/98000] 新增46,000 | 7684条/h | 剩余~5.5h | 错误:49
[55,600/98000] 新增46,200 | 7691条/h | 剩余~5.5h | 错误:49
[55,800/98000] 新增46,400 | 7697条/h | 剩余~5.5h | 错误:49
[56,000/98000] 新增46,600 | 7701条/h | 剩余~5.5h | 错误:49
[56,200/98000] 新增46,800 | 7705条/h | 剩余~5.4h | 错误:49
[56,400/98000] 新增47,000 | 7705条/h | 剩余~5.4h | 错误:49
[56,600/98000] 新增47,200 | 7706条/h | 剩余~5.4h | 错误:49
[56,800/98000] 新增47,400 | 7712条/h | 剩余~5.3h | 错误:49
[57,000/98000] 新增47,600 | 7710条/h | 剩余~5.3h | 错误:49
[57,200/98000] 新增47,800 | 7717条/h | 剩余~5.3h | 错误:49
[57,400/98000] 新增48,000 | 7718条/h | 剩余~5.3h | 错误:49
[57,600/98000] 新增48,200 | 7724条/h | 剩余~5.2h | 错误:49
[57,800/98000] 新增48,400 | 7734条/h | 剩余~5.2h | 错误:49
[58,000/98000] 新增48,600 | 7735条/h | 剩余~5.2h | 错误:49
[58,200/98000] 新增48,800 | 7743条/h | 剩余~5.1h | 错误:49
[58,400/98000] 新增49,000 | 7750条/h | 剩余~5.1h | 错误:49
[58,600/98000] 新增49,200 | 7741条/h | 剩余~5.1h | 错误:49
[58,800/98000] 新增49,400 | 7744条/h | 剩余~5.1h | 错误:49
[59,000/98000] 新增49,600 | 7756条/h | 剩余~5.0h | 错误:49
[59,200/98000] 新增49,800 | 7761条/h | 剩余~5.0h | 错误:49
[59,400/98000] 新增50,000 | 7768条/h | 剩余~5.0h | 错误:49
[59,600/98000] 新增50,200 | 7771条/h | 剩余~4.9h | 错误:49
[59,800/98000] 新增50,400 | 7775条/h | 剩余~4.9h | 错误:49
[60,000/98000] 新增50,600 | 7775条/h | 剩余~4.9h | 错误:49
[60,200/98000] 新增50,800 | 7780条/h | 剩余~4.9h | 错误:49
[60,400/98000] 新增51,000 | 7767条/h | 剩余~4.8h | 错误:49
[60,600/98000] 新增51,200 | 7775条/h | 剩余~4.8h | 错误:49
[60,800/98000] 新增51,400 | 7772条/h | 剩余~4.8h | 错误:49
[61,000/98000] 新增51,600 | 7776条/h | 剩余~4.8h | 错误:49
[61,200/98000] 新增51,800 | 7782条/h | 剩余~4.7h | 错误:49
[61,400/98000] 新增52,000 | 7788条/h | 剩余~4.7h | 错误:49
[61,600/98000] 新增52,200 | 7795条/h | 剩余~4.7h | 错误:49
[61,800/98000] 新增52,400 | 7790条/h | 剩余~4.6h | 错误:49
[62,000/98000] 新增52,600 | 7787条/h | 剩余~4.6h | 错误:49
[62,200/98000] 新增52,800 | 7794条/h | 剩余~4.6h | 错误:49
[62,400/98000] 新增53,000 | 7803条/h | 剩余~4.6h | 错误:49
[62,600/98000] 新增53,200 | 7810条/h | 剩余~4.5h | 错误:49
[62,800/98000] 新增53,400 | 7795条/h | 剩余~4.5h | 错误:49
[63,000/98000] 新增53,600 | 7796条/h | 剩余~4.5h | 错误:49
[63,200/98000] 新增53,800 | 7795条/h | 剩余~4.5h | 错误:49
[63,400/98000] 新增54,000 | 7799条/h | 剩余~4.4h | 错误:49
[63,600/98000] 新增54,200 | 7789条/h | 剩余~4.4h | 错误:50
[63,800/98000] 新增54,400 | 7781条/h | 剩余~4.4h | 错误:50
[64,000/98000] 新增54,600 | 7767条/h | 剩余~4.4h | 错误:50
[64,200/98000] 新增54,800 | 7761条/h | 剩余~4.4h | 错误:50
[64,400/98000] 新增55,000 | 7748条/h | 剩余~4.3h | 错误:50
[64,600/98000] 新增55,200 | 7724条/h | 剩余~4.3h | 错误:50
[64,800/98000] 新增55,400 | 7728条/h | 剩余~4.3h | 错误:50
[65,000/98000] 新增55,600 | 7723条/h | 剩余~4.3h | 错误:50
[65,200/98000] 新增55,800 | 7715条/h | 剩余~4.3h | 错误:50
[65,400/98000] 新增56,000 | 7717条/h | 剩余~4.2h | 错误:50
[65,600/98000] 新增56,200 | 7703条/h | 剩余~4.2h | 错误:50
[65,800/98000] 新增56,400 | 7697条/h | 剩余~4.2h | 错误:50
[66,000/98000] 新增56,600 | 7681条/h | 剩余~4.2h | 错误:50
[66,200/98000] 新增56,800 | 7668条/h | 剩余~4.1h | 错误:50
[66,400/98000] 新增57,000 | 7664条/h | 剩余~4.1h | 错误:50
[66,600/98000] 新增57,200 | 7666条/h | 剩余~4.1h | 错误:50
[66,800/98000] 新增57,400 | 7665条/h | 剩余~4.1h | 错误:50
[67,000/98000] 新增57,600 | 7646条/h | 剩余~4.1h | 错误:50
[67,200/98000] 新增57,800 | 7640条/h | 剩余~4.0h | 错误:50
[67,400/98000] 新增58,000 | 7634条/h | 剩余~4.0h | 错误:50
[67,600/98000] 新增58,200 | 7618条/h | 剩余~4.0h | 错误:50
[67,800/98000] 新增58,400 | 7615条/h | 剩余~4.0h | 错误:50
[68,000/98000] 新增58,600 | 7582条/h | 剩余~4.0h | 错误:50
[68,200/98000] 新增58,800 | 7552条/h | 剩余~3.9h | 错误:50
[68,400/98000] 新增59,000 | 7548条/h | 剩余~3.9h | 错误:50
[68,600/98000] 新增59,200 | 7536条/h | 剩余~3.9h | 错误:50
[68,800/98000] 新增59,400 | 7524条/h | 剩余~3.9h | 错误:50
[69,000/98000] 新增59,600 | 7511条/h | 剩余~3.9h | 错误:50
[69,200/98000] 新增59,800 | 7512条/h | 剩余~3.8h | 错误:50
[69,400/98000] 新增60,000 | 7489条/h | 剩余~3.8h | 错误:50
[69,600/98000] 新增60,200 | 7449条/h | 剩余~3.8h | 错误:50
[69,800/98000] 新增60,400 | 7443条/h | 剩余~3.8h | 错误:50
[70,000/98000] 新增60,600 | 7430条/h | 剩余~3.8h | 错误:50
[70,200/98000] 新增60,800 | 7409条/h | 剩余~3.8h | 错误:50
[70,400/98000] 新增61,000 | 7362条/h | 剩余~3.7h | 错误:50
[70,600/98000] 新增61,200 | 7351条/h | 剩余~3.7h | 错误:50
[70,800/98000] 新增61,400 | 7319条/h | 剩余~3.7h | 错误:50
[71,000/98000] 新增61,600 | 7289条/h | 剩余~3.7h | 错误:50
[71,200/98000] 新增61,800 | 7254条/h | 剩余~3.7h | 错误:53
[71,400/98000] 新增62,000 | 7238条/h | 剩余~3.7h | 错误:53
[71,600/98000] 新增62,200 | 7208条/h | 剩余~3.7h | 错误:53
[71,800/98000] 新增62,400 | 7201条/h | 剩余~3.6h | 错误:53
[72,000/98000] 新增62,600 | 7179条/h | 剩余~3.6h | 错误:53
[72,200/98000] 新增62,800 | 7173条/h | 剩余~3.6h | 错误:53
[72,400/98000] 新增63,000 | 7164条/h | 剩余~3.6h | 错误:53
[72,600/98000] 新增63,200 | 7161条/h | 剩余~3.5h | 错误:53
[72,800/98000] 新增63,400 | 7141条/h | 剩余~3.5h | 错误:53
[73,000/98000] 新增63,600 | 7123条/h | 剩余~3.5h | 错误:53
[73,200/98000] 新增63,800 | 7083条/h | 剩余~3.5h | 错误:53
[73,400/98000] 新增64,000 | 7015条/h | 剩余~3.5h | 错误:53
[73,600/98000] 新增64,200 | 7002条/h | 剩余~3.5h | 错误:53
[73,800/98000] 新增64,400 | 6992条/h | 剩余~3.5h | 错误:53
[74,000/98000] 新增64,600 | 6980条/h | 剩余~3.4h | 错误:53
[74,200/98000] 新增64,800 | 6977条/h | 剩余~3.4h | 错误:53
[74,400/98000] 新增65,000 | 6961条/h | 剩余~3.4h | 错误:53
[74,600/98000] 新增65,200 | 6938条/h | 剩余~3.4h | 错误:53
[74,800/98000] 新增65,400 | 6926条/h | 剩余~3.3h | 错误:53
[75,000/98000] 新增65,600 | 6917条/h | 剩余~3.3h | 错误:53
[75,200/98000] 新增65,800 | 6906条/h | 剩余~3.3h | 错误:53
[75,400/98000] 新增66,000 | 6892条/h | 剩余~3.3h | 错误:53
[75,600/98000] 新增66,200 | 6886条/h | 剩余~3.3h | 错误:53
[75,800/98000] 新增66,400 | 6869条/h | 剩余~3.2h | 错误:53
[76,000/98000] 新增66,600 | 6862条/h | 剩余~3.2h | 错误:53
[76,200/98000] 新增66,800 | 6801条/h | 剩余~3.2h | 错误:53
[76,400/98000] 新增67,000 | 6789条/h | 剩余~3.2h | 错误:53
[76,600/98000] 新增67,200 | 6773条/h | 剩余~3.2h | 错误:53
[76,800/98000] 新增67,400 | 6776条/h | 剩余~3.1h | 错误:53
